"Index","S&P","3-month,T-bill"
1954-01-31,0.0511890366787586,0.0102
1954-02-28,0.00268404907975461,0.01
1954-03-31,0.0302103250478012,0.0103
1954-04-30,0.0489977728285078,0.0081
1954-05-31,0.0329087048832271,0.0072
1954-06-30,0.000685166152792016,0.0064
1954-07-31,0.0571722013009244,0.0079
1954-08-31,-0.0340025906735751,0.0105
1954-09-30,0.0831377807576268,0.0099
1954-10-31,-0.0194986072423399,0.01
1954-11-30,0.0808080808080809,0.0101
1954-12-31,0.0508177570093455,0.0102
1955-01-31,0.0180655919955532,0.0112
1955-02-28,0.00354900354900334,0.0137
1955-03-31,-0.00489662676822633,0.0141
1955-04-30,0.0377255330781849,0.0159
1955-05-31,-0.00131717597471037,0.0139
1955-06-30,0.0823001846478504,0.0147
1955-07-31,0.0606873019741654,0.0175
1955-08-31,-0.00781250000000011,0.0209
1955-09-30,0.0113478462251042,0.0215
1955-10-31,-0.0304556904053125,0.0215
1955-11-30,0.0748700991969766,0.0244
1955-12-31,-0.000659195781147037,0.025
1956-01-31,-0.036499560246262,0.0232
1956-02-29,0.0346873573710635,0.023
1956-03-31,0.0692545213939124,0.023
1956-04-30,-0.00206270627062699,0.0269
1956-05-31,-0.0657296403472509,0.0257
1956-06-30,0.039159292035398,0.0242
1956-07-31,0.0515222482435598,0.023
1956-08-31,-0.0380643855031383,0.0266
1956-09-30,-0.0454641128183539,0.0291
1956-10-31,0.00507166482910693,0.0286
1956-11-30,-0.0109697235629662,0.0304
1956-12-31,0.035270629991127,0.0322
1957-01-31,-0.041782729805014,0.0312
1957-02-28,-0.0326475849731664,0.0328
1957-03-31,0.0196486361534907,0.0296
1957-04-30,0.0369530718657902,0.0301
1957-05-31,0.0369479667686925,0.0331
1957-06-30,-0.00126502213788748,0.0322
1957-07-31,0.0113996200126663,0.0338
1957-08-31,-0.0561469421832602,0.035
1957-09-30,-0.0619195046439628,0.0346
1957-10-31,-0.032060348892032,0.036
1957-11-30,0.0160740379931805,0.0314
1957-12-31,-0.0414669223394055,0.0275
1958-01-31,0.0427606901725432,0.0155
1958-02-28,-0.0206235011990408,0.0127
1958-03-31,0.0308521057786484,0.011
1958-04-30,0.0318289786223278,0.012
1958-05-31,0.0149631675874771,0.0058
1958-06-30,0.0260830120208664,0.0075
1958-07-31,0.0431034482758619,0.0091
1958-08-31,0.0118669209578302,0.0233
1958-09-30,0.0483769633507853,0.027
1958-10-31,0.0253695565321612,0.0255
1958-11-30,0.0224040522111826,0.0278
1958-12-31,0.0520198170731707,0.0268
1959-01-31,0.00434703857996754,0.0264
1959-02-28,-0.000721370604148008,0.0276
1959-03-31,0.000541418516513348,0.0278
1959-04-30,0.0387806637806638,0.0285
1959-05-31,0.0189268970307344,0.0308
1959-06-30,-0.00357873210633952,0.0314
1959-07-31,0.0348896870189841,0.03
1959-08-31,-0.0150388365559411,0.0388
1959-09-30,-0.0456375838926174,0.041
1959-10-31,0.0112517580872011,0.04
1959-11-30,0.0132127955493742,0.0444
1959-12-31,0.0276252573781743,0.044
1960-01-31,-0.0714643513107364,0.0399
1960-02-29,0.00917101240784035,0.0419
1960-03-31,-0.0138987883107625,0.0302
1960-04-30,-0.0175280086736539,0.0304
1960-05-31,0.0268530439580652,0.0312
1960-06-30,0.0195235536449938,0.0219
1960-07-31,-0.0247716092761772,0.0219
1960-08-31,0.0261214195640425,0.0257
1960-09-30,-0.0603932584269663,0.023
1960-10-31,-0.00242899850523171,0.0212
1960-11-30,0.0402697134294812,0.024
1960-12-31,0.0462729564277997,0.022
1961-01-31,0.0631560832903115,0.0228
1961-02-28,0.026869537067012,0.0258
1961-03-31,0.0255359394703658,0.0242
1961-04-30,0.00384260682446969,0.0227
1961-05-31,0.0191394885928649,0.0234
1961-06-30,-0.0288461538461539,0.0227
1961-07-31,0.0327970297029703,0.0226
1961-08-31,0.0196225284601557,0.0235
1961-09-30,-0.0196856177464373,0.0223
1961-10-31,0.0283230930615914,0.0228
1961-11-30,0.0393471291168754,0.0255
1961-12-31,0.00322490185081326,0.0267
1962-01-31,-0.037875611460517,0.0273
1962-02-28,0.0162696106914584,0.0271
1962-03-31,-0.00586049170954828,0.0275
1962-04-30,-0.0619698058950395,0.0274
1962-05-31,-0.0859901900674431,0.027
1962-06-30,-0.081838001006205,0.029
1962-07-31,0.0635616438356164,0.0286
1962-08-31,0.0152842177571699,0.0281
1962-09-30,-0.0482070365358592,0.0274
1962-10-31,0.00444286475919675,0.0272
1962-11-30,0.101556970983723,0.0286
1962-12-31,0.0134918085448121,0.0292
1963-01-31,0.0491283676703644,0.0293
1963-02-28,-0.0288519637462236,0.029
1963-03-31,0.0354643023798411,0.0291
1963-04-30,0.0485203545140453,0.029
1963-05-31,0.0143266475644699,0.03
1963-06-30,-0.0201977401129942,0.0299
1963-07-31,-0.00345970880784219,0.0327
1963-08-31,0.0487487342687691,0.0339
1963-09-30,-0.0110344827586206,0.0337
1963-10-31,0.0322175732217573,0.0348
1963-11-30,-0.0105391163356303,0.035
1963-12-31,0.0244435340707359,0.0351
1964-01-31,0.02692615302586,0.035
1964-02-29,0.00986500519210787,0.036
1964-03-31,0.0151670951156813,0.0351
1964-04-30,0.00607748797163832,0.0345
1964-05-31,0.0114523030455576,0.0347
1964-06-30,0.0164240388204553,0.0347
1964-07-31,0.0182396866201495,0.0347
1964-08-31,-0.0162298629478241,0.035
1964-09-30,0.0287180740559698,0.0355
1964-10-31,0.00807792824899023,0.0355
1964-11-30,-0.00518501060570353,0.0384
1964-12-31,0.003909026297086,0.0382
1965-01-31,0.0331563421828909,0.0387
1965-02-28,-0.00148469620831426,0.0399
1965-03-31,-0.0145259064394374,0.0393
1965-04-30,0.0342386258124421,0.0391
1965-05-31,-0.00774323869374927,0.0387
1965-06-30,-0.0486315313277539,0.0381
1965-07-31,0.0134331906799809,0.0381
1965-08-31,0.0225219941348973,0.039
1965-09-30,0.032006424228519,0.0402
1965-10-31,0.0273454868830592,0.0406
1965-11-30,-0.00876433672365295,0.0413
1965-12-31,0.00895098788341886,0.0449
1966-01-31,0.00486854917234658,0.0463
1966-02-28,-0.0178725236864772,0.0464
1966-03-31,-0.0218153913615434,0.0452
1966-04-30,0.0205087974896334,0.0465
1966-05-31,-0.0541401273885351,0.0464
1966-06-30,-0.0161383954487403,0.0458
1966-07-31,-0.0134529147982063,0.0477
1966-08-31,-0.0777511961722488,0.0506
1966-09-30,-0.00700389105058352,0.0534
1966-10-31,0.047544409613375,0.0522
1966-11-30,0.00311720698254359,0.0516
1966-12-31,-0.00149160969546303,0.0481
1967-01-31,0.0781775177393254,0.0451
1967-02-28,0.00196282184505248,0.0454
1967-03-31,0.0394100023046786,0.0401
1967-04-30,0.0422394678492239,0.0373
1967-05-31,-0.0524412296564196,0.0346
1967-06-30,0.0175123484508308,0.04
1967-07-31,0.0453442188879083,0.0412
1967-08-31,-0.0117150395778364,0.0438
1967-09-30,0.0327851345578811,0.0439
1967-10-31,-0.0352600558370385,0.0456
1967-11-30,0.007502679528403,0.0495
1967-12-31,0.0262765957446809,0.0504
1968-01-31,-0.0438478283404168,0.0488
1968-02-29,-0.03122289679098,0.0502
1968-03-31,0.00940017905102963,0.0517
1968-04-30,0.0804878048780486,0.0551
1968-05-31,0.0125179560845476,0.0568
1968-06-30,0.00912038913660318,0.053
1968-07-31,-0.0184776059449689,0.0517
1968-08-31,0.0114589727849397,0.0518
1968-09-30,0.0385393485737406,0.0516
1968-10-31,0.00720755819616237,0.0548
1968-11-30,0.0479644134996615,0.0552
1968-12-31,-0.0416166835840177,0.0625
1969-01-31,-0.0081840939726554,0.0619
1969-02-28,-0.0473740413552083,0.0619
1969-03-31,0.0344441047589932,0.0599
1969-04-30,0.0214757166781596,0.0587
1969-05-31,-0.00221815025556948,0.0608
1969-06-30,-0.055577034602745,0.0629
1969-07-31,-0.0601780779858765,0.0706
1969-08-31,0.0400740498747687,0.0695
1969-09-30,-0.0250235577426448,0.0714
1969-10-31,0.0429553264604812,0.0699
1969-11-30,-0.0340815485996705,0.0751
1969-12-31,-0.0186547276409764,0.0801
1970-01-31,-0.0764718661742343,0.0786
1970-02-28,0.0526934838861446,0.0685
1970-03-31,0.0014525139664805,0.0638
1970-04-30,-0.0904830971772844,0.0693
1970-05-31,-0.0609666339548577,0.0693
1970-06-30,-0.050032658393207,0.0649
1970-07-31,0.0732948294829483,0.0638
1970-08-31,0.0444586803331197,0.0633
1970-09-30,0.0341020608439646,0.0584
1970-10-31,-0.0124555160142349,0.0584
1970-11-30,0.0474474474474476,0.0504
1970-12-31,0.0567660550458715,0.0485
1971-01-31,0.0404774823657079,0.0415
1971-02-28,0.00907384230287867,0.034
1971-03-31,0.0367958656330749,0.0364
1971-04-30,0.0362875087229588,0.0393
1971-05-31,-0.0415584415584417,0.0434
1971-06-30,-0.00933453778982229,0.0522
1971-07-31,-0.0316109422492402,0.0531
1971-08-31,0.0360954174513497,0.0444
1971-09-30,-0.00696758558012722,0.046
1971-10-31,-0.0417937766931056,0.0431
1971-11-30,-0.002546959567017,0.0434
